,tf,idf,tfidf,entropy_tfidf
外面,0.0006519070397493968,3.610402979574144,0.002353647118716582,0.6886543571311968
太爽,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
有山,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
万古,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
韩餐,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
程序,1.4110541985917679e-05,7.165751041063557,0.00010111263092556065,0.00010111263092556065
内页,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
牧逗,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
涂过,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
四间房,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
时至,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
泡酒吧,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
评,7.337481832677192e-05,5.738634685423412,0.00042107127748665477,0.4899729649004154
拉丁,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
有家,6.490849313522132e-05,5.779456679943667,0.00037513582423543253,0.00037513582423543253
一桌,1.4110541985917679e-05,7.348072597857512,0.00010368528690763962,0.5005061088250955
同层,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
荒草,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
满身,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
星光,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,8.294822952611169e-05
出纳,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
简要,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
宏基,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
电信公司,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
松爽,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
伴着,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
远比,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
锦昌,1.6932650383101216e-05,7.858898221623503,0.00013307197598312666,0.00013307197598312666
饭菜,0.00016086017863946154,4.950177325059141,0.0007962864088060254,0.4652021470448788
婴儿床,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
欣慰,1.975475878028475e-05,6.878068968611776,0.00013587459334908758,0.6830439792938208
休息日,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
纸垫,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
FAX,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
奇摩,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
正是,4.2331625957753037e-05,6.184921788051831,0.0002618177957097672,0.5801769892138107
送餐,0.00017497072062537923,4.987218596739491,0.0008726172317878013,0.6296720113255683
楼下,0.0004204941511803468,4.023036577160921,0.0016916633506807693,0.6025765669424332
邯郸,3.95095175605695e-05,6.878068968611776,0.00027174918669817515,0.5985413377719554
防火,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,0.6932301287894714
眼界,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
褒贬不一,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
吊挂在,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
一点,0.00153240485967066,2.7610663824970922,0.004231071542411834,0.6394610876119299
闹腾,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
游艇,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
桐乡,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
北面,2.2576867177468287e-05,6.878068968611776,0.00015528524954181436,0.6617185234075239
犯错,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
环行,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
徽商,8.466325191550608e-06,8.264363329731667,6.996878745063427e-05,6.996878745063427e-05
抵挡,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
合同,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
来回票,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
查处,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
单独,7.9019035121139e-05,5.625306000116408,0.00044450625239035244,0.4696648546939891
流不走,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
用处,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,0.5624180928483344
还算蛮,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
更改,3.1043192369018895e-05,6.7602859329553935,0.00020986085668630666,0.5861624791602371
警卫处,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
北四环,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
虎跑,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
做何,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
背脊,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
洋货,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
这使,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
儿子,5.926427634085425e-05,6.124297166235396,0.00036295203965328515,0.683271056740125
过得,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
名胜,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
不可磨灭,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
房奇,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
宽裕,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
系统升级,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
过江后,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
幻影,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
睿,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
悦达,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
傅姓,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
远远,4.5153734354936574e-05,6.184921788051831,0.0002792723154237517,0.685593479591882
投票,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
货,1.975475878028475e-05,6.878068968611776,0.00013587459334908758,0.410252192881758
大漠,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
一有免,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
陈述,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
下载,2.2576867177468287e-05,6.878068968611776,0.00015528524954181436,0.3769254465059786
另一半,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
酒店风云,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
伤心,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
文字说明,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
果盆,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
避风港,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
鼓捣,5.644216794367072e-06,8.264363329731667,4.664585830042285e-05,4.664585830042285e-05
净化,1.4110541985917679e-05,7.858898221623503,0.00011089331331927222,0.00011089331331927222
不太近,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
自行安排,5.644216794367072e-06,8.264363329731667,4.664585830042285e-05,4.664585830042285e-05
看起来,0.00013546120306480973,5.1288691138025175,0.0006947627805176335,0.6929736364368364
说染,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
用于,1.6932650383101216e-05,7.011600361236299,0.00011872497754284044,0.6366328932723556
枕潮轩,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
人问,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
348,1.4110541985917679e-05,7.348072597857512,0.00010368528690763962,0.00010368528690763962
导向,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
歌手,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
看河景,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
响亮,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
弱点,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
K197,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
门牌,1.4110541985917679e-05,7.571216149171722,0.00010683396335734555,0.5005092575015452
洗衣,9.312957710705668e-05,5.6616736442872835,0.0005272692722106432,0.47466658233004794
上旬,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
没窗,1.975475878028475e-05,7.011600361236299,0.0001385124737999805,0.0001385124737999805
有欧,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
BABY,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
大坝,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
身着,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
永别,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
缺根弦,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
齐备,3.1043192369018895e-05,6.472603860503613,0.000200930286770068,0.4743402433446074
锈到,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
餐服,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
只认,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
鱼翅,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
321,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
知,2.8221083971835358e-05,6.559615237493242,0.0001851194524402275,0.6110494215073338
过后,4.5153734354936574e-05,6.124297166235396,0.0002765348873548839,0.6934237154473002
2715,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
整点,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
品种,0.000863565169538162,3.2980282945319916,0.0028480623633091746,0.5242418094927422
挂壁,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
后半夜,1.4110541985917679e-05,7.571216149171722,0.00010683396335734555,0.5005092575015452
洗脸池,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
喂喂,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
四分,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
查不到,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
问个,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
情形,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
鲍翅馆,8.466325191550608e-06,8.264363329731667,6.996878745063427e-05,6.996878745063427e-05
掰断,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
取到,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
相差无几,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
出现意外,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
拼写错误,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
拼盘,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
空房,3.386530076620243e-05,6.472603860503613,0.0002191966764764378,0.6794124626680021
32852,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
较美,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
最受,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
价格,0.003713894650693533,1.9626605244585418,0.007289114422913943,0.6270206327854296
口径,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
天边,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
五洲,1.4110541985917679e-05,7.348072597857512,0.00010368528690763962,0.5005061088250955
人文景观,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
放养,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
巨大,5.079795114930365e-05,6.013071531125172,0.000305451713895365,0.6685539293784339
病毒,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
刚装,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
挪到,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
联发,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
除臭,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
很挤,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
炉,1.1288433588734143e-05,7.858898221623503,8.871465065541777e-05,8.871465065541777e-05
截流,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
多准,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
国际性,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
水多放,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
叫苦,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
沉浸,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
信誉度,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
继续,0.0002681002977324359,4.468874140559473,0.0011981064876127783,0.6164561344739237
新协通,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
按说,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
中间,0.0001100622274901579,5.268631056177676,0.0005798772698667382,0.6775316125736942
烧鸭,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
21,0.0001806149374197463,4.863165948069512,0.0008783604133724161,0.6817683476800257
爬上去,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
歌及,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
变凉,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
鞠躬,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
很进,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
芋艿,5.644216794367072e-06,8.264363329731667,4.664585830042285e-05,4.664585830042285e-05
稍许,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
思,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
内宾,1.1288433588734143e-05,7.571216149171722,8.546717068587644e-05,8.546717068587644e-05
BUSTOAIRPORT20YUANPERPERSON,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
有句,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
秩序,1.4110541985917679e-05,7.165751041063557,0.00010111263092556065,0.5005035361691135
情歌,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
那怕,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
所言,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
只用,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
牵涉到,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
民谣,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
贵宝地,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
梦幻,8.466325191550608e-06,7.858898221623503,6.653598799156333e-05,6.653598799156333e-05
高分,1.4110541985917679e-05,7.348072597857512,0.00010368528690763962,0.6731153522961641
罗宋汤,5.644216794367072e-06,8.264363329731667,4.664585830042285e-05,4.664585830042285e-05
十楼,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
落水,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
旅游景点,2.8221083971835358e-05,6.559615237493242,0.0001851194524402275,0.6731967864616968
冷言冷语,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
放过,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
激活,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
排忧解难,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
破,0.00016368228703664509,4.950177325059141,0.0008102563458026224,0.43238747717762405
4x,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
还花,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
虽比,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
昏昏沉沉,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
牙刷毛,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
海都,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
国际展览中心,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,0.5624180928483344
水不多,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
空开,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
真实性,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
优雅,5.362005954648718e-05,5.961778236737621,0.0003196709040568226,0.20651172153728878
2727,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
返佣费,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
西,4.2331625957753037e-05,6.392561152830075,0.0002706075076336653,0.39294507473518586
缺点,0.0005615995710395236,3.7052370822449827,0.0020808595559885183,0.5038733912273439
减排,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
短袖,8.466325191550608e-06,7.858898221623503,6.653598799156333e-05,6.653598799156333e-05
情色,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
慎重,2.5398975574651824e-05,6.7602859329553935,0.00017170433728879635,0.6366858726321015
灰蒙蒙,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,4.435732532770889e-05
异地,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,0.6932301287894714
北门,8.466325191550608e-06,7.858898221623503,6.653598799156333e-05,6.653598799156333e-05
818,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
一早,9.595168550424022e-05,5.402162448802199,0.0005183465923302848,0.6497667014632283
大厨,2.2576867177468287e-05,6.878068968611776,0.00015528524954181436,0.3769254465059786
瑕疵,3.1043192369018895e-05,6.472603860503613,0.000200930286770068,0.3048370276360083
多待,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
太仓促,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
服务台,0.00012699487787325912,5.268631056177676,0.0006690891575385442,0.6636348426198275
摘,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
路上车,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
游乐场,8.466325191550608e-06,7.858898221623503,6.653598799156333e-05,0.6365807042828043
三刻,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
9.8,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
方间,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
好得多,1.4110541985917679e-05,7.165751041063557,0.00010111263092556065,0.5005035361691135
着火,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
细仔,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
南国,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
滑雪,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
返航,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
如去,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
人生,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
元到,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
618,8.466325191550608e-06,7.858898221623503,6.653598799156333e-05,6.653598799156333e-05
名不副实,3.386530076620243e-05,6.392561152830075,0.00021648600610693226,0.6367306543009197
一穿,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
期望值,2.5398975574651824e-05,6.654925417297567,0.00016902828812507048,0.6366831965829378
公德心,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
号称,0.00015521596184509448,5.025684877567287,0.0007800665122019525,0.6037437289284419
清淡,2.2576867177468287e-05,6.878068968611776,0.00015528524954181436,0.3769254465059786
不厌其烦,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,0.5624180928483344
点半刚,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
一字不漏,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
多名,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
新面孔,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
倒床,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
极具,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
方知,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
衣服,0.00024834553895215116,4.653445417087443,0.001155662410090999,0.6732350499520254
原则上,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
连卡,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
很令,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
个少,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
狂妄自大,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
想下,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
国有,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
然大,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
有机玻璃,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
打是,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
五六米,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
填,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,0.6365782686728272
认,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
竟能,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
偏南,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
暂且不说,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
安逸,1.1288433588734143e-05,7.348072597857512,8.294822952611169e-05,8.294822952611169e-05
坏事,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
个人卫生,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
宽畅,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
转好,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
